Time(Hours);EntityID;ObjectName;ProcessID;StepName;Action
0;--;--;--;--;System initialization completed.
0;--;--;--;--;Created object 'Moto1[1]'.
0;Moto1[1];Moto1[1];0.OnCreated;[Begin];Process 'Moto1[1].OnCreated' execution started.
0;Moto1[1];Moto1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto1[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Moto1[1];Moto1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Moto1[1];Moto1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto1[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Moto1[1];Moto1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Moto1[1];Moto1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto1[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Moto1[1];Moto1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto1[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Moto1[1];Moto1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto1[1].HomeNode' the value 'Output@Pizzeria'. Previous value was 'Nothing'.
0;Moto1[1];Moto1[1];0.OnCreated;[End];Process 'Moto1[1].OnCreated' execution ended.
0;--;--;--;--;Created object 'Moto2[1]'.
0;Moto2[1];Moto2[1];0.OnCreated;[Begin];Process 'Moto2[1].OnCreated' execution started.
0;Moto2[1];Moto2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto2[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Moto2[1];Moto2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto2[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Moto2[1];Moto2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto2[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Moto2[1];Moto2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto2[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Moto2[1];Moto2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto2[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Moto2[1];Moto2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto2[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Moto2[1];Moto2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto2[1].HomeNode' the value 'Output@Pizzeria'. Previous value was 'Nothing'.
0;Moto2[1];Moto2[1];0.OnCreated;[End];Process 'Moto2[1].OnCreated' execution ended.
0;--;--;--;--;Created object 'Moto3[1]'.
0;Moto3[1];Moto3[1];0.OnCreated;[Begin];Process 'Moto3[1].OnCreated' execution started.
0;Moto3[1];Moto3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto3[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Moto3[1];Moto3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto3[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Moto3[1];Moto3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto3[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Moto3[1];Moto3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto3[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Moto3[1];Moto3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto3[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Moto3[1];Moto3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto3[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Moto3[1];Moto3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Moto3[1].HomeNode' the value 'Output@Pizzeria'. Previous value was 'Nothing'.
0;Moto3[1];Moto3[1];0.OnCreated;[End];Process 'Moto3[1].OnCreated' execution ended.
0;Moto1[1];Moto1[1];0.OnRunInitialized;[Begin];Process 'Moto1[1].OnRunInitialized' execution started.
